POLICY AND TRANSITION FUNCTIONS
                            Y               C               I_k             Q               Pi              MC              R_k             R_F             R               K               N_E             B_E             N_F             Lev_E           Lev_F           S               Spread_F        Total_Spread
R(-1)                      -0.171286       -0.211853       -0.221522       -0.112012       -0.047379       -0.058435       -0.116673       -0.013798        0.421644               0       -0.263900        0.053263        0.097876        0.151888       -0.044613        0.007594       -0.435442       -0.427848
R_F(-1)                    -0.049609        0.177390       -0.849163       -0.288366        0.012015       -0.007913       -0.279225       -0.002789       -0.003391               0       -1.424696        0.948119        2.165408        1.136330       -1.217288        0.056816        0.000602        0.057419
S(-1)                      -0.262501        0.540454       -3.184019       -1.353008       -0.030978       -0.059893       -1.312197        0.145225       -0.088859               0       -3.419741        0.895886        0.067716        2.066733        0.828169        0.103337        0.234084        0.337420
N_E(-1)                     0.286520       -0.589904        3.475349        1.476805        0.033812        0.065373        1.432260       -0.158513        0.096989               0        3.732639       -0.977857       -0.073912       -2.255835       -0.903945       -0.112792       -0.255502       -0.368294
G(-1)                       0.113011       -0.078324        0.059270        0.016900        0.021732        0.037170        0.022177        0.019567        0.044552               0        0.061703       -0.031853       -0.047507       -0.044804        0.015654       -0.002240       -0.024985       -0.027225
A(-1)                       0.111847        0.307623       -0.411966       -0.135115       -0.475997       -0.661815       -0.151542       -0.392897       -0.329036               0       -0.718619        0.499819        1.040519        0.583504       -0.540700        0.029175       -0.063861       -0.034686
A_k(-1)                     0.272425       -0.235949        2.235996       -0.124702        0.072934        0.078733       -0.105859        0.014583        0.122807               0       -0.134316       -0.114240       -0.159432        0.009614        0.045192        0.000481       -0.108224       -0.107743
Chi_C(-1)                   0.088738        0.123707        0.068888        0.016376        0.038805        0.028422        0.020367        0.052077        0.051289               0        0.073757       -0.046063       -0.084828       -0.057381        0.038765       -0.002869        0.000788       -0.002081
Chi_L(-1)                  -0.005276       -0.008336       -0.000870       -0.000202        0.013429        0.004427       -0.000227        0.017974        0.008753               0        0.011747       -0.013204       -0.029355       -0.011949        0.016151       -0.000597        0.009221        0.008623
Gamma_E(-1)                 0.277907       -1.126979        5.195088        1.381138       -0.000969        0.033262        1.338769        0.253411        0.068750               0        3.274322       -0.678910        0.002118       -1.893184       -0.681029       -0.094659        0.184661        0.090002
Gamma_F(-1)                 0.171415       -0.382453        2.176292        0.819028        0.039149        0.036441        0.794827       -0.003570        0.072216               0        1.540603        0.033855        0.651354       -0.721574       -0.617499       -0.036079       -0.075786       -0.111865
C(-1)                       0.259441        0.387319        0.117100        0.036461        0.043124        0.091755        0.048924        0.028390        0.097204               0        0.131750       -0.067227       -0.094269       -0.095289        0.027042       -0.004764       -0.068813       -0.073578
W(-1)                      -0.104024       -0.252065        0.271219        0.089415        0.392952        0.467819        0.100280        0.362329        0.268708               0        0.546238       -0.407673       -0.858984       -0.456823        0.451311       -0.022841        0.093621        0.070780
Pi(-1)                     -0.110861       -0.238338        0.189439        0.043933        0.435360       -0.036727        0.036349        0.186005        0.298805               0        0.463636       -0.412763       -0.951689       -0.419703        0.538926       -0.020985       -0.112800       -0.133785
K(-1)                      -0.435532        1.305905       -6.628268       -2.803148       -0.348404       -0.357616       -2.762164       -0.015237       -0.370186        0.975000       -5.546438        2.217869        0.761604        3.718290        1.456265        0.185914        0.354949        0.540863
Q(-1)                      -0.548139        1.128542       -6.648675       -2.825268       -0.064686       -0.125065       -3.740051        0.303250       -0.185549               0       -7.140895        1.870734        0.141401        4.315627        1.729333        0.215781        0.488799        0.704581
B_E(-1)                     0.000553       -0.000943        0.006065        0.002766        0.000112        0.000135        0.002683       -0.000384        0.000222               0        0.005183        0.000136        0.005449       -0.002417       -0.005313       -0.000121       -0.000607       -0.000727
N_F(-1)                     0.095183       -0.162324        1.043901        0.475995        0.019222        0.023240        0.461836       -0.066176        0.038212               0        0.891973        0.023353        0.937866       -0.415978       -0.914513       -0.020799       -0.104388       -0.125187
I_k(-1)                     0.107448       -0.002016        0.582549       -0.071004        0.009269        0.034291       -0.063570       -0.019952        0.033814        0.025000       -0.111971        0.025778       -0.020262        0.065967        0.046039        0.003298       -0.053766       -0.050468

eA                          0.149129        0.410164       -0.549288       -0.180153       -0.634662       -0.882420       -0.202056       -0.523863       -0.438715               0       -0.958158        0.666426        1.387359        0.778006       -0.720934        0.038900       -0.085148       -0.046248
eC                          0.118317        0.164942        0.091851        0.021834        0.051741        0.037896        0.027156        0.069436        0.068385               0        0.098343       -0.061418       -0.113104       -0.076509        0.051686       -0.003825        0.001051       -0.002774
eE                          0.370543       -1.502639        6.926784        1.841517       -0.001292        0.044349        1.785025        0.337882        0.091667               0        4.365762       -0.905214        0.002825       -2.524245       -0.908038       -0.126212        0.246215        0.120003
eF                          0.228554       -0.509938        2.901723        1.092038        0.052199        0.048588        1.059769       -0.004760        0.096288               0        2.054137        0.045140        0.868472       -0.962099       -0.823332       -0.048105       -0.101048       -0.149153
eG                          0.150681       -0.104432        0.079026        0.022533        0.028977        0.049560        0.029570        0.026089        0.059403               0        0.082271       -0.042471       -0.063342       -0.059738        0.020871       -0.002987       -0.033313       -0.036300
eK                          0.363233       -0.314598        2.981327       -0.166269        0.097245        0.104978       -0.141145        0.019443        0.163742               0       -0.179088       -0.152320       -0.212576        0.012819        0.060256        0.000641       -0.144299       -0.143658
eL                         -0.007035       -0.011115       -0.001160       -0.000269        0.017905        0.005902       -0.000303        0.023965        0.011670               0        0.015663       -0.017605       -0.039141       -0.015932        0.021535       -0.000797        0.012294        0.011498
eR                         -0.341466       -0.425592       -0.430914       -0.218493       -0.094535       -0.116600       -0.227980       -0.028365        0.843732               0       -0.517436        0.106798        0.206651        0.298942       -0.099853        0.014947       -0.872098       -0.857151
