0,R,Y,C,I,pi,w,L,RE,LEV_F,LEV_E,S
Jun-85,0.713651961,0.638067278,1.96655272,6.8270984,-0.09684038,0.96306898,-2.21193506,1.013700981,15.70076775,-10.5205236,0.13509804
Sep-85,0.811151961,0.948157702,2.53524239,4.64997749,-0.09922771,1.64833209,-1.70135302,1.033700981,15.6591646,-9.6544831,0.31509804
Dec-85,0.898651961,0.891789622,1.86917196,5.82154017,0.05956852,2.37029463,-1.32164525,0.808700981,23.14983336,-8.7018827,0.32509804
Mar-86,0.701151961,0.681543828,1.4596071,4.71197405,-0.10470864,2.79271431,-2.23815899,0.538700981,20.11601549,-9.0307658,0.31509804
Jun-86,0.561151961,-0.077982823,1.28522501,3.52461642,-0.10702006,2.77131925,-2.04614119,0.498700981,15.66452466,-9.0474513,0.38509804
Sep-86,0.303651961,0.192873668,2.25677175,2.58982056,0.04929491,2.79920189,-1.59665846,0.463700981,15.57876587,-8.0086059,0.46509804
Dec-86,0.558651961,0.066750651,2.17508825,2.78103834,0.04527635,3.03009012,-1.44560362,0.406200981,22.39655585,-7.6527714,0.46509804
Mar-87,0.363651961,-0.361152447,0.96961391,-0.42457611,0.35380852,2.31220455,-0.64207905,0.316200981,20.11473902,-7.4434558,0.22509804
Jun-87,0.513651961,-0.042217188,1.48814433,0.18771902,0.03544871,1.90875614,-0.45361897,0.543700981,21.40931568,-7.3245699,0.21509804
Sep-87,0.636151961,0.089874204,1.79053164,1.20190967,0.18556733,1.76283834,-0.66847695,0.741200981,22.59168182,-7.3663594,0.11509804
Dec-87,0.523651961,0.763191129,0.93485754,0.43923132,0.17964999,1.61229632,0.50747351,0.736200981,25.49935465,-6.4540869,0.13509804
Mar-88,0.476151961,0.701230518,1.93956388,0.07592761,0.17382266,2.25886076,0.32215803,0.556200981,25.07404158,-6.0977742,0.19509804
Jun-88,0.708651961,1.089658959,1.70302134,1.18649098,0.31834627,2.13865337,0.88472194,0.663700981,24.67992506,-6.0436633,0.36509804
Sep-88,0.878651961,0.778592696,1.5901711,0.66233951,0.60740676,1.7153794,0.36214626,0.638700981,22.76658511,-6.1014288,0.08509804
Dec-88,1.021151961,1.137675874,1.71979507,1.11334397,0.15246438,1.15365568,0.46714743,0.576200981,24.7555753,-4.6439447,-0.08490196
