0,C1,C2,C3,C4,W1,W2,W3,W4,L1,L2,L3,L4,R,pi1,pi2,pi3,pi4,Y1,Y2,Y3,Y4,S1,S2,S3,S4,LevF1,LevF2,LevF3,LevF4,I1,I2,I3,I4,LevE1,LevE2,LevE3,RE1,RE2,RE3,RE4
Jun-85,1.802466573,-2.696206513,3.422640244,-0.185648837,0.851370488,3.552358855,5.04385853,3.793734514,-2.147590496,-2.232818743,-4.121732856,-3.553757681,-0.161943097,0.042955052,-0.79612336,-0.138165902,-0.703198035,2.061423492,-2.941653854,-1.924751643,-2.796931258,0.124134615,-0.207596154,-0.24625,-0.390480769,-1.483560941,1.417206712,-1.469231505,-12.49759834,8.644016817,7.783755717,12.54806014,-8.243354564,-10.61686014,-8.149034112,-9.851227916,0.544622277,0.323061463,0.559114858,0.398598366
Sep-85,2.376158999,-1.622361497,3.08010915,-0.089335174,1.616478133,3.543134958,5.289264838,3.844468261,-1.637008465,-1.714132654,-3.855793952,-3.672083347,0.247784366,-0.692732403,-0.127609608,-0.586289057,0.174871279,2.304888684,-3.347184974,-2.74363131,-3.494998461,0.304134615,-0.107596154,-0.15625,-0.280480769,-2.8453139,-0.363706948,-2.908207544,-12.99696041,6.663586319,5.218529913,9.747077689,-5.197817269,-9.750985335,-7.518320029,-9.08732184,0.763375733,0.542640202,0.717490599,0.567699423
Dec-85,1.715091322,-2.383523354,3.232767839,-0.101648667,2.333632589,3.917910945,4.948420514,3.766860315,-1.257300691,-1.623124337,-3.615741812,-3.561273571,0.616528309,0.180239208,-0.413502758,1.135347737,-0.512440583,2.31531234,-3.050037656,-2.82890064,-3.601930937,0.314134615,-0.047596154,0.25375,-0.280480769,7.072875355,-0.219781407,2.198311913,2.497957387,7.788390545,8.016711255,10.489123,-2.407311936,-8.798238934,-7.303019644,-8.372975613,-0.000329712,0.090463644,0.063279868,0.254977967
Mar-86,1.31052922,-2.146876833,3.404521559,-0.923324662,2.732120729,3.592966961,3.312075802,3.468672589,-2.173814426,-1.177229546,-3.622322011,-3.791371928,-0.156307285,-0.500820209,0.75852337,-0.04349885,2.088808842,1.895154071,-3.108384816,-2.917177946,-3.322473249,0.304134615,-0.037596154,-0.25625,-0.220480769,-2.961883939,-1.20197997,-1.118910383,5.949428967,6.777219694,6.426267558,7.65520058,-14.35207006,-9.127258489,-7.739950114,-8.796584772,-0.948370813,-0.394785964,-0.835433728,-0.180956631
Jun-86,1.141149886,-1.8948984,3.208825126,-1.520023919,2.6663218,2.936218306,4.030195463,2.911365503,-1.981796634,-0.738486585,-3.733818648,-4.344827835,-0.701703763,-0.527948344,-0.127414769,-0.836725888,-0.089138116,1.32499199,-4.039791136,-4.099350413,-4.020540451,0.374134615,0.002403846,-0.01625,-0.150480769,-3.460689744,-2.504219759,-3.597772498,11.94197143,5.670096405,2.812552849,4.159874389,-18.7494356,-9.143846542,-7.383228617,-8.719752489,-0.982624118,-0.704482918,-0.890606128,-0.561654363
Sep-86,2.117699377,-0.230459821,2.805782607,-1.406105363,2.764474476,2.446379251,3.938873053,2.43096494,-1.5323139,-0.77109046,-3.286729392,-4.393748416,-1.720544783,-0.459876782,-0.090811855,0.136486918,-0.763813414,1.622515596,-4.099052021,-4.36961139,-4.136646749,0.454134615,0.082403846,0.02375,-0.110480769,-4.708384567,-3.492817335,-5.656647705,13.77586111,4.773893827,-1.282740648,2.175350163,-18.62898267,-8.105035072,-7.364638118,-8.02443012,-1.004373444,-0.80975477,-0.993671129,-0.768552122
Dec-86,2.041018627,-0.160504899,3.085670603,-0.94240852,2.959270407,2.268700736,4.734345202,2.202185234,-1.381259056,-0.884446038,-3.044527701,-4.150013083,-0.693275434,-0.146778628,-0.42868048,-0.64855598,-1.156258471,1.323724575,-3.643346242,-3.917869053,-3.48983297,0.454134615,0.032403846,0.32375,-0.280480769,4.217592969,-3.545450693,3.756475398,20.92065722,4.901361116,-1.954735823,2.433565145,-13.04245541,-7.749338768,-7.199205189,-7.752618199,-1.124288468,-0.701288773,-1.195505896,-0.892735769
Mar-87,0.840547042,-1.132561823,2.314521093,-0.751319605,2.255867385,1.726273336,3.448498991,1.944884851,-0.577734489,-0.626015575,-2.731438279,-3.695900846,-1.469265468,0.792213159,-0.151531322,-0.72767411,-1.021045914,0.797707359,-3.028092964,-3.1219425,-2.860866481,0.214134615,-0.027596154,-0.24625,-0.210480769,-4.20165111,-4.546339247,-2.323484075,16.78512509,1.37403886,-0.135129897,-2.228084612,-23.04531199,-7.539977623,-6.782135716,-7.429072031,-1.382411133,-1.039266081,-1.366366551,-1.144810817
Jun-87,1.364080215,-0.346473092,2.413988691,-0.544545311,1.907002546,1.3345269,3.344228817,1.572152456,-0.389274411,-0.608561446,-2.340014591,-3.18709589,-0.867451338,-0.729712563,-0.359457873,0.213995297,-0.628775698,1.033122659,-2.259086874,-1.996558529,-1.878221851,0.204134615,-0.147596154,-0.15625,-0.360480769,0.437275815,1.543956114,0.555719101,4.948240844,2.023087007,-0.953251227,-1.264075504,-10.73553695,-7.420979425,-6.538967571,-7.259068498,-0.378080703,-0.393429543,-0.415762026,-0.434824822
Sep-87,1.671470283,0.43307612,1.842592793,-0.42764347,1.753316491,1.544860227,2.205185208,1.563146766,-0.604132386,-0.597917101,-1.945039883,-2.28413306,-0.375851206,0.037662452,0.448419588,0.119579326,0.483475264,1.028800081,-1.342673604,-0.901636451,-0.741375187,0.104134615,-0.107596154,-0.16625,-0.290480769,0.842282127,-0.970511668,-0.894102545,-4.724351607,2.86156023,-1.796388437,0.31069419,-16.80413455,-7.462822472,-6.220757089,-7.172324129,0.500227566,0.147127533,0.417652729,-0.042109831
Dec-87,0.820798942,-0.239557698,1.019670306,-0.435740786,1.607371031,1.055711002,1.65923797,1.561646918,0.571818066,-0.297050685,-1.29252892,-1.260469479,-0.821941077,-0.111120861,-0.620715839,-0.302699525,-0.590145632,1.601859414,0.52406257,0.836131366,1.251302902,0.124134615,0.022403846,0.31375,-0.020480769,5.191790562,1.156870032,4.16924892,-10.26382638,1.941446604,4.470401425,-0.867362861,-4.26184318,-6.550578265,-6.215653001,-6.545215596,0.564274719,0.203557731,0.405482614,0.084273873
Mar-88,1.830508032,0.876470878,1.592696833,0.185813587,2.199392286,0.612267834,1.629169657,0.816003928,0.386502592,-0.440388745,-0.836156107,-0.888642275,-1.00296205,0.03457917,0.670906795,-0.052205558,1.174142405,1.161185212,1.223765587,1.034939672,1.258705998,0.184134615,0.112403846,-0.11625,0.109519231,0.122431254,-0.507855733,1.579454832,-17.8648821,1.367395223,-2.12534564,-0.553069869,-7.809159702,-6.19421323,-5.937558208,-6.218705752,-0.074490843,-0.293078316,-0.240928506,-0.394707673
Jun-88,1.598968249,0.793916264,1.575465981,0.159815994,2.051140767,0.547521955,2.035116325,0.741689479,0.949066498,-0.273944526,-0.373628644,-0.203660844,-0.055641511,0.448555422,0.892953002,0.518525058,0.800888953,1.249870622,1.592278557,1.391458451,1.609599462,0.354134615,0.112403846,0.13375,0.059519231,2.58472405,-1.801196502,2.527909125,-16.7535595,2.14918635,-0.822279335,0.576972494,-3.003585577,-6.140159286,-5.556370332,-6.064383829,0.435026611,0.068152797,0.36950981,0.061858895
