0,C1,C2,C3,C4,W1,W2,W3,W4,L1,L2,L3,L4,R,pi1,pi2,pi3,pi4,Y1,Y2,Y3,Y4,S1,S2,S3,S4,LevF1,LevF2,LevF3,LevF4,I1,I2,I3,I4,LevE1,LevE2,LevE3,RE1,RE2,RE3,RE4
Jun-85,1.802466573,-2.696206513,3.422640244,-0.185648837,0.851370488,3.552358855,5.04385853,3.793734514,-2.147590496,-2.232818743,-3.607635236,-2.431812907,-0.040485774,0.010738763,-0.19903084,-0.034541475,-0.175799509,2.061423492,-2.941653854,-1.924751643,-2.796931258,0.031033654,-0.051899038,-0.0615625,-0.097620192,-1.483560941,1.417206712,-1.469231505,-12.49759834,8.644016817,7.783755717,12.54806014,-8.243354564,-10.61686014,-8.149034112,-9.851227916,0.136155569,0.080765366,0.139778715,0.099649591
Sep-85,2.376158999,-1.622361497,3.08010915,-0.089335174,1.616478133,3.543134958,5.289264838,3.844468261,-1.637008465,-1.714132654,-3.453977937,-1.982212034,0.061946091,-0.173183101,-0.031902402,-0.146572264,0.04371782,2.304888684,-3.347184974,-2.74363131,-3.494998461,0.076033654,-0.026899038,-0.0390625,-0.070120192,-2.8453139,-0.363706948,-2.908207544,-12.99696041,6.663586319,5.218529913,9.747077689,-5.197817269,-9.750985335,-7.518320029,-9.09E+00,0.190843933,0.13566005,0.17937265,0.141924856
Dec-85,1.715091322,-2.383523354,3.232767839,-0.101648667,2.333632589,3.917910945,4.948420514,3.766860315,-1.257300691,-1.623124337,-3.433743303,-3.874451743,0.154132077,0.045059802,-0.103375689,0.283836934,-0.128110146,2.31531234,-3.050037656,-2.82890064,-3.601930937,0.078533654,-0.011899038,0.0634375,-0.070120192,7.072875355,-0.219781407,2.198311913,2.497957387,7.788390545,8.016711255,10.489123,-2.407311936,-8.798238934,-7.303019644,-8.372975613,-8.24E-05,0.022615911,0.015819967,0.063744492
Mar-86,1.31052922,-2.146876833,3.404521559,-0.923324662,2.732120729,3.592966961,3.312075802,3.468672589,-2.173814426,-1.177229546,-5.430717331,-5.983536715,-0.039076821,-0.125205052,0.189630843,-0.010874713,0.52220221,1.895154071,-3.108384816,-2.917177946,-3.322473249,0.076033654,-0.009399038,-0.0640625,-0.055120192,-2.961883939,-1.20197997,-1.118910383,5.949428967,6.777219694,6.426267558,7.65520058,-14.35207006,-9.127258489,-7.739950114,-8.796584772,-0.237092703,-0.098696491,-0.208858432,-0.045239158
Jun-86,1.141149886,-1.8948984,3.208825126,-1.520023919,2.6663218,2.936218306,4.030195463,2.911365503,-1.981796634,-0.738486585,-3.239349847,-3.220095126,-0.175425941,-0.131987086,-0.031853692,-0.209181472,-0.022284529,1.32499199,-4.039791136,-4.099350413,-4.020540451,0.093533654,0.000600962,-0.0040625,-0.037620192,-3.460689744,-2.504219759,-3.597772498,11.94197143,5.670096405,2.812552849,4.159874389,-18.7494356,-9.143846542,-7.383228617,-8.719752489,-0.245656029,-0.176120729,-0.222651532,-0.140413591
Sep-86,2.117699377,-0.230459821,2.805782607,-1.406105363,2.764474476,2.446379251,3.938873053,2.43096494,-1.5323139,-0.77109046,-2.921779793,-2.736694974,-0.430136196,-0.114969195,-0.022702964,0.03412173,-0.190953354,1.622515596,-4.099052021,-4.36961139,-4.136646749,0.113533654,0.020600962,0.0059375,-0.027620192,-4.708384567,-3.492817335,-5.656647705,13.77586111,4.773893827,-1.282740648,2.175350163,-18.62898267,-8.105035072,-7.364638118,-8.02443012,-0.251093361,-0.202438693,-0.248417782,-0.192138031
Dec-86,2.041018627,-0.160504899,3.085670603,-0.94240852,2.959270407,2.268700736,4.734345202,2.202185234,-1.381259056,-0.884446038,-2.865359876,-4.411422365,-0.173318859,-0.036694657,-0.10717012,-0.162138995,-0.289064618,1.323724575,-3.643346242,-3.917869053,-3.48983297,0.113533654,0.008100962,0.0809375,-0.070120192,4.217592969,-3.545450693,3.756475398,20.92065722,4.901361116,-1.954735823,2.433565145,-13.04245541,-7.749338768,-7.199205189,-7.752618199,-0.281072117,-0.175322193,-0.298876474,-0.223183942
Mar-87,0.840547042,-1.132561823,2.314521093,-0.751319605,2.255867385,1.726273336,3.448498991,1.944884851,-0.577734489,-0.626015575,-4.458422442,-5.962249359,-0.367316367,0.19805329,-0.03788283,-0.181918527,-0.255261478,0.797707359,-3.028092964,-3.1219425,-2.860866481,0.053533654,-0.006899038,-0.0615625,-0.052620192,-4.20165111,-4.546339247,-2.323484075,16.78512509,1.37403886,-0.135129897,-2.228084612,-23.04531199,-7.539977623,-6.782135716,-7.429072031,-0.345602783,-0.25981652,-0.341591638,-0.286202704
Jun-87,1.364080215,-0.346473092,2.413988691,-0.544545311,1.907002546,1.3345269,3.344228817,1.572152456,-0.389274411,-0.608561446,-1.724032079,-2.062672644,-0.216862834,-0.182428141,-0.089864468,0.053498824,-0.157193925,1.033122659,-2.259086874,-1.996558529,-1.878221851,0.051033654,-0.036899038,-0.0390625,-0.090120192,0.437275815,1.543956114,0.555719101,4.948240844,2.023087007,-0.953251227,-1.264075504,-10.73553695,-7.420979425,-6.538967571,-7.259068498,-0.094520176,-0.098357386,-0.103940506,-0.108706206
Sep-87,1.671470283,0.43307612,1.842592793,-0.42764347,1.753316491,1.544860227,2.205185208,1.563146766,-0.604132386,-0.597917101,-1.399402324,-0.684541191,-0.093962801,0.009415613,0.112104897,0.029894832,0.120868816,1.028800081,-1.342673604,-0.901636451,-0.741375187,0.026033654,-0.026899038,-0.0415625,-0.072620192,0.842282127,-0.970511668,-0.894102545,-4.724351607,2.86156023,-1.796388437,0.31069419,-16.80413455,-7.462822472,-6.220757089,-7.172324129,0.125056892,0.036781883,0.104413182,-0.010527458
