name,data_no,state_no,init_obs,type(gam),coef_gam,prior_psi_mean,prior_psi_var,prior_sig_nu,prior_sig_s,prior_gam_mean,prior_gam_sigma,hist_decomp
c1,1,1,1,1,1,0,1,3,0.05,1,0.001,1
c2,2,1,0,2,1,0,1,3,0.05,1,0.001,0
c3,3,1,0,2,1,0,1,3,0.05,1,0.001,0
c4,4,1,0,2,1,0,1,3,0.05,1,0.001,0
w1,5,2,1,1,1,0,1,3,0.05,1,0.001,1
w2,6,2,0,2,1,0,1,3,0.05,1,0.001,0
w3,7,2,0,2,1,0,1,3,0.05,1,0.001,0
w4,8,2,0,2,1,0,1,3,0.05,1,0.001,0
l1,9,3,1,1,1,0,1,3,0.05,1,0.001,1
l2,10,3,0,2,1,0,1,30,0.05,1,0.1,0
l3,11,3,0,2,1,0,1,30,0.05,1,0.001,0
l4,12,3,0,2,1,0,1,30,0.05,1,0.001,0
r,13,4,1,1,4,0,1,300,0.01,1,0.001,1
p1,14,5,1,1,4,0,1,3,0.05,1,0.001,1
p2,15,5,0,2,4,0,1,3,0.05,1,0.001,0
p3,16,5,0,2,4,0,1,3,0.05,1,0.001,0
p4,17,5,0,2,4,0,1,3,0.05,1,0.001,0
y1,18,7,1,1,1,0,1,3,0.05,1,0.001,1
y2,19,7,0,2,1,0,1,30,0.05,1,0.1,0
y3,20,7,0,2,1,0,1,30,0.05,1,0.1,0
y4,21,7,0,2,1,0,1,30,0.05,1,0.1,0
s1,22,9,1,1,4,0,1,3,0.05,1,0.001,1
s2,23,9,0,2,4,0,1,3,0.05,1,0.001,0
s3,24,9,0,2,4,0,1,3,0.05,1,0.001,0
s4,25,9,0,2,4,0,1,3,0.05,1,0.001,0
F_Lev1,26,18,1,1,1,0,1,3,0.05,1,0.001,1
F_Lev2,27,18,0,2,1,0,1,30,0.05,1,0.001,0
F_Lev3,28,18,0,2,1,0,1,30,0.05,1,0.001,0
F_Lev4,29,18,0,2,1,0,1,30,0.05,1,0.001,0
I1,30,19,1,1,1,0,1,3,0.05,1,0.001,1
I2,31,19,0,2,1,0,1,3,0.05,1,0.001,0
I3,32,19,0,2,1,0,1,3,0.05,1,0.001,0
I4,33,19,0,2,1,0,1,3,0.05,1,0.001,0
E_Lev1,34,22,1,1,1,0,1,3,0.05,1,0.001,1
E_lev2,35,22,0,2,1,0,1,30,0.05,1,0.001,0
E_lev3,36,22,0,2,1,0,1,30,0.05,1,0.001,0
B_rate1,37,23,1,1,4,0,1,3,0.05,1,0.001,1
B_rate2,38,23,0,2,4,0,1,3,0.05,1,0.001,0
B_rate3,39,23,0,2,4,0,1,3,0.05,1,0.001,0
B_rate4,40,23,0,2,4,0,1,3,0.05,1,0.001,0
