data_no	state_no type	prior_psi_mean	prior_psi_var	prior_sig_nu	prior_sig_s
1	1	1	0	0	0	0
2	1	1	0	0	0	0
3	1	1	0	0	0	0
4	1	1	0	0	0	0
5	2	1	0	0	0	0
6	2	1	0	0	0	0
7	2	1	0	0	0	0
8	2	1	0	0	0	0
9	3	1	0	0	0	0
10	3	1	0	0	0	0
11	3	1	0	0	0	0
12	3	1	0	0	0	0
13	4	1	0	0	0	0
14	5	1	0	0	0	0
15	5	1	0	0	0	0
16	5	1	0	0	0	0
17	5	1	0	0	0	0
18	7	1	0	0	0	0
19	7	1	0	0	0	0
20	7	1	0	0	0	0
21	7	1	0	0	0	0
22	9	1	0	0	0	0
23	9	1	0	0	0	0
24	9	1	0	0	0	0
25	9	1	0	0	0	0
26	18	1	0	0	0	0
27	18	1	0	0	0	0
28	18	1	0	0	0	0
29	18	1	0	0	0	0
30	19	1	0	0	0	0
31	19	1	0	0	0	0
32	19	1	0	0	0	0
33	19	1	0	0	0	0
34	22	1	0	0	0	0
35	22	1	0	0	0	0
36	22	1	0	0	0	0
37	23	1	0	0	0	0
38	23	1	0	0	0	0
39	23	1	0	0	0	0
40	23	1	0	0	0	0
