0,TFP ,Preference ,Entrepreneur ,Banking_sector_net_worth_shock,Government_spending_shock,Investment_specific_technology,Labor_supply_shock,Monetary_policy_shock
1985.5,0.043604061,-1.3396559,-0.15434317,0.026314332,0.10584883,0.37780561,-0.25376309,0.11783116
1985.75,0.18118799,-1.8763775,0.012604229,0.90719994,-0.16870038,-0.46377174,-0.41211912,-0.086576693
1986,-0.20659438,-0.61978417,-0.037145061,0.40801887,-0.18601409,-0.29999179,-0.45197299,-0.071036024
1986.25,0.057510935,0.5297799,-0.21899028,0.23944245,0.043254269,-0.11241,-0.68747218,-0.24157517
1986.5,-0.33675193,-0.45543782,0.030104558,0.036305888,-0.14402703,0.007535288,-0.1355049,0.17605768
1986.75,-0.6466215,-1.4039813,-0.007145682,0.46292635,0.26465807,-0.61733804,-0.079231754,-0.1982731
1987,-0.036927333,1.6656771,-0.10632902,-0.52144318,0.17698901,0.30992349,-0.31085334,0.051218711
1987.25,-0.070117084,0.87680984,0.057087357,-0.44450054,-0.12657285,0.074037944,0.11928783,0.046899153
1987.5,-0.37632312,-0.10433001,-0.094929645,-0.24486818,0.6576751,0.035057848,0.1267662,-0.17990957
1987.75,0.15496321,1.1491327,-0.18211927,0.42633266,-0.28466355,-0.16878185,-0.092127981,-0.16481643
1988,-0.4212669,1.2501112,-0.052079428,-0.058798635,0.072068914,0.22759107,0.43196968,0.053741292
1988.25,-0.098467788,1.0250269,0.060200293,0.18256904,-0.22122307,-0.29093903,0.18636429,0.0532651
1988.5,-0.039090661,1.2252732,-0.2645146,0.011612045,0.079794324,0.24003143,-0.26768616,0.075281849
1988.75,-0.569762,0.619955,-0.010069574,0.32781167,0.19533652,-0.003809233,-0.064463629,0.24157796
1989,0.024353024,-0.52554403,-0.13736934,-0.13065974,-0.16819733,-0.14606445,-0.07083324,0.031758416
1989.25,0.1671795,1.0890868,-0.17400533,-0.29656441,0.012174523,0.42791791,-0.2119597,-0.010414268
1989.5,-0.28454363,-0.34099372,-0.45904624,-0.70595165,-0.2654887,-0.29987024,0.56160791,-0.013585638
1989.75,-0.69847637,0.7038256,-0.002868299,0.023920629,0.002997935,0.26791747,0.28631694,0.028314152
1990,-0.14763363,1.2600499,-0.2645611,-0.60409421,0.43730232,-0.25857814,-0.17578092,0.077643028
1990.25,-0.36487832,-0.18080207,-0.14363918,-0.65097852,0.022283932,-0.11318216,0.18095862,0.094024017
1990.5,-0.79594825,-1.9184886,-0.093220453,-0.44847698,-0.17898896,-0.49207632,0.19146454,-0.051995179
1990.75,-0.16532783,-0.8464162,-0.10818888,-0.18747814,-0.2266451,-0.54136023,-0.10093563,-0.12232681
1991,-0.1791158,0.9324649,-0.35069823,-0.23382954,0.44138107,0.22202866,-0.66937979,0.04801509
1991.25,-0.25117039,-0.78932635,-0.56016563,-0.20498641,0.24632022,-0.039493091,-0.16451038,0.009810617
