       1.0000000 -th   shock  
mean    low band   high band

     0.012994642      -0.53526812       0.50836457 
     0.097802829      -0.35873410       0.58264469 
     -0.32117189      -0.78973715       0.13282016 
     0.074811256      -0.37741651       0.53120164 
     -0.37037494      -0.83968022      0.053765562 
     -0.85346158       -1.3142262      -0.38500734 
     0.027412589      -0.44137674       0.44977999 
    0.0027624694      -0.45315435       0.44851573 
     -0.45028271      -0.91385007    -0.0015406396 
      0.19797592      -0.28139598       0.62414794 
     -0.39260491      -0.80341668      0.080480879 
    -0.076574254      -0.51378242       0.37591246 
  -0.00099146086      -0.45871870       0.42716232 
     -0.62241641       -1.0418210      -0.15755450 
    -0.033380153      -0.45635123       0.42035604 
      0.24374300      -0.22341717       0.68733640 
     -0.30554717      -0.74827988       0.14231960 
     -0.80739312       -1.2619641      -0.35949721 
    -0.097358672      -0.54470485       0.35860749 
     -0.34395313      -0.80551781      0.076398457 
     -0.97733025       -1.4271292      -0.50673212 
     -0.26539412      -0.71699069       0.17313081 
     -0.21143097      -0.66253128       0.23829477 
     -0.32117368      -0.74628214       0.15233442 
     -0.22440493      -0.66443477       0.22088558 
      0.14337044      -0.28399842       0.59231740 
      0.12790970      -0.32248430       0.58672612 
      0.43847619     -0.021805378       0.87917310 
      0.24102393      -0.20204710       0.70565915 
     -0.16553974      -0.62690847       0.27833981 
     -0.31080904      -0.78018754       0.13075758 
     0.052705160      -0.38388121       0.54239529 
   -0.0068716348      -0.49452519       0.42941814 
    -0.049208876      -0.49715051       0.39775472 
    -0.049772908      -0.50162652       0.40487321 
     -0.29156984      -0.74869835       0.14024663 
     -0.18052136      -0.58766881       0.32003815 
      0.10258918      -0.35123179       0.54131260 
      0.42851560     -0.021014664       0.87510755 
    -0.066254459      -0.49833020       0.38291937 
      0.41903840     -0.036717672       0.84446637 
     -0.17990072      -0.59462382       0.30035527 
    -0.046215325      -0.52391420       0.37324337 
     -0.31347883      -0.75143498       0.13636968 
    -0.084549842      -0.51954695       0.38258765 
     -0.26298010      -0.73011623       0.16299950 
      0.35432012      -0.10158634       0.80905652 
      0.40533760     -0.056805358       0.85149982 
      0.18867115      -0.23042829       0.65938662 
      0.78528631       0.36105223        1.2736277 
