       1.0000000 -th   shock  
mean    low band   high band

     -0.28992230      -0.55716440      0.013947189 
     -0.23548023      -0.50989107      0.035973682 
     -0.26609596      -0.53148477     0.0053637299 
    -0.035750472      -0.30249377       0.22700251 
     0.043312749      -0.22047509       0.29477555 
     -0.58754233      -0.86808345      -0.30409514 
     0.042974409      -0.21370868       0.30383116 
     0.080906474      -0.18353592       0.34002444 
     -0.13897671      -0.42538023       0.15180568 
     -0.12937250      -0.38260038       0.14089095 
     -0.12416565      -0.37477595       0.14040571 
     -0.15786349      -0.40445564       0.10182282 
      0.14283339      -0.13058185       0.38338296 
     -0.50903033      -0.76400381      -0.25349396 
     -0.29750943      -0.55505537     -0.034726099 
      0.29410423      0.021375251       0.55248577 
     -0.32436159      -0.60909489     -0.040728049 
     -0.50028126      -0.76906731      -0.17338078 
    -0.098876163      -0.34577721       0.17090977 
    -0.070693292      -0.34611058       0.20304901 
     -0.79361128       -1.0663447      -0.53127553 
     -0.71950370       -1.0189896      -0.44676265 
      0.18363429     -0.064152742       0.46882077 
     -0.23760012      -0.49376152      0.025988772 
    0.0016051538      -0.25460856       0.25435956 
     0.029724807      -0.23072660       0.28430882 
      0.26070029   -0.00060718686       0.51715674 
      0.22356648     -0.030022750       0.48226002 
      0.19958820     -0.062954974       0.45044669 
     0.047257637      -0.20149606       0.32003408 
     -0.20672141      -0.46259503      0.048338672 
      0.24432103     -0.013764822       0.50538873 
     0.090658886      -0.15734294       0.35251184 
    -0.026734793      -0.29011555       0.22610517 
     0.095212666      -0.14913950       0.37279787 
     -0.20930420      -0.47409677      0.039738717 
      0.12257461      -0.13966159       0.39178207 
     -0.16871518      -0.41277734      0.097509278 
      0.16414912     -0.090819838       0.42802174 
    -0.097407382      -0.35931857       0.16291782 
      0.16492979      -0.10316440       0.41888890 
     -0.16914294      -0.42197044      0.093083860 
      0.56826156       0.30478535       0.82234457 
     0.011955457      -0.26423500       0.24695004 
    0.0049374577      -0.25578133       0.25692509 
    -0.035218108      -0.26826064       0.23605862 
      0.39272889       0.13590745       0.65282839 
      0.60178164       0.34163567       0.84983864 
      0.33920946      0.078296185       0.60086169 
      0.60462120       0.34424356       0.85664880 
