       1.0000000 -th   shock  
mean    low band   high band

     0.067488037      -0.36406756       0.62630150 
      0.20363628      -0.14628801       0.54250399 
     -0.18759620      -0.64620687       0.15887949 
     0.091791832      -0.40558835       0.63734304 
     -0.28004346      -0.79123057       0.11933335 
     -0.72872826       -1.1053481      -0.25527430 
     0.069392840      -0.25875721       0.46822491 
      0.12421697      -0.30072630       0.52530760 
     -0.37190293      -0.83638738      0.085557408 
     0.049831951      -0.48795720       0.50349485 
     -0.31903668      -0.74403309       0.12600826 
    -0.046881362      -0.34864336       0.50577377 
    -0.038399638      -0.47721939       0.42149655 
     -0.63476708       -1.1386953      -0.37000309 
    -0.019472066      -0.47583231       0.34638263 
      0.23928181     -0.089307481       0.77603706 
     -0.34815294      -0.80364351      0.043529617 
     -0.67360921       -1.0868661      -0.15953322 
     -0.16648690      -0.68860976       0.18506438 
     -0.18565588      -0.49644356       0.43772327 
     -0.85460171       -1.2079496      -0.39730632 
     -0.26253801      -0.73973593       0.25362553 
     -0.22275274      -0.71158278       0.23464592 
     -0.26312620      -0.60446971       0.22496239 
     -0.13822496      -0.71404452       0.23461766 
      0.18776990      -0.24078874       0.54292336 
      0.13120208      -0.25461146       0.51845607 
      0.47543711      0.019007483       0.92174673 
      0.29622164      -0.18582088       0.70260893 
     -0.24886527      -0.56113353       0.10291490 
     -0.25589275      -0.78385970       0.13108894 
    -0.013965101      -0.47949086       0.45237390 
     0.014039534      -0.57414223       0.44324785 
    -0.095282051      -0.63511337       0.23244181 
    -0.030194285      -0.55031467       0.30821461 
     -0.25274187      -0.66736593       0.15681068 
     -0.27835288      -0.64922339       0.22769862 
      0.17577287      -0.26672673       0.71199994 
      0.28182722      -0.42905636       0.58116027 
    0.0038392667      -0.39761722       0.61010317 
      0.37807212     -0.088340962       0.74444409 
     -0.17659364      -0.71669926       0.15148983 
    -0.033064180      -0.36366064       0.52514034 
     -0.23024923      -0.97780684       0.21686970 
     -0.17856922      -0.51485052       0.24071404 
     -0.22707183      -0.64386351       0.17577463 
      0.45174379       0.12746221        1.0534951 
      0.27344925      -0.13459591       0.68834032 
      0.16994874      -0.28642030       0.53490326 
      0.83779123       0.46610570        1.2131308 
