       1.0000000 -th   shock  
mean    low band   high band

     -0.21059807      -0.47642005      0.053259981 
     -0.17878304      -0.48443533       0.12131632 
     -0.28420685      -0.53671119     -0.041595880 
    -0.059999905      -0.31286596       0.18910027 
      0.11838361      -0.16141256       0.40434073 
     -0.38483963      -0.72379526      0.032023588 
     0.054199609      -0.18668618       0.30323753 
      0.13527539      -0.16058814       0.39830029 
     0.067172780      -0.28235417       0.42733317 
     -0.16494024      -0.43818250      0.067389855 
    -0.062511018      -0.28906872       0.17418143 
     -0.16526624      -0.41448164      0.069978383 
      0.12891569      -0.11920379       0.35300407 
     -0.46775340      -0.71032733      -0.21944929 
     -0.37420440      -0.62653562      -0.16255166 
      0.11828091      -0.24808670       0.45589349 
     -0.18191061      -0.44082987      0.073820358 
     -0.35694291      -0.62370904      -0.12085829 
    -0.080152371      -0.31011289       0.18937325 
    -0.095123615      -0.36510878       0.17495153 
     -0.77243891       -1.0321810      -0.52136832 
     -0.80829974       -1.0541170      -0.55697646 
      0.19307498     -0.030932329       0.44768307 
     -0.13709388      -0.42562924       0.17526074 
    -0.017300597      -0.23881480       0.22474695 
    -0.060560625      -0.36019155       0.21883065 
      0.32135772      0.042225220       0.60788458 
      0.14760994      -0.12962090       0.44131434 
      0.13745350      -0.16168794       0.40396689 
     0.073642875      -0.15147669       0.30704563 
     -0.28170174      -0.50548533     -0.026075067 
      0.13338834      -0.16916821       0.41016930 
      0.11427808      -0.11325643       0.36777888 
    -0.012321378      -0.23784508       0.23155779 
      0.12412893      -0.11452978       0.35669295 
     -0.15347517      -0.39928966       0.12357110 
      0.18533402     -0.074421417       0.40917527 
     -0.14091417      -0.36109953       0.10214294 
     0.077100310      -0.15918902       0.32511541 
    -0.061497653      -0.30113353       0.17563678 
     0.099393451      -0.13336132       0.33606712 
     -0.16043704      -0.38726278      0.062843321 
      0.58629212       0.35883757       0.82248876 
     0.072373330      -0.16960132       0.32062609 
     0.028724311      -0.20686560       0.27155691 
     0.047165289      -0.21249202       0.32895778 
      0.36299943      0.094703719       0.59163690 
      0.57114802       0.34852303       0.80271844 
      0.44428907       0.18501073       0.74379305 
      0.51890649       0.26379155       0.79319921 
